Manufacturer,Automobile,Production,Sales,Sales_clean,Production_years
Saleen,Saleen S7,2000–09,"Saleen's only production car; 78 in a single generation, also include 21 Twin Turbo models and 20 racing cars.[442]",78.0,10.0
Saturn,Saturn S-Series,1991–2002,"Saturn's longest lasting and bestselling nameplate; approximately 2,210,000 over two generations not counting 2002 (sales of 2002 are unknown).[443]",2210000.0,12.0
SEAT,SEAT Ibiza,1984–present,"3,949,597 up to 2008, SEAT's bestselling car in four generations; the sales of the fourth generation are not included, nor those of its derivatives (such as the sedan or its rebadged versions).[444]",3949597.0,43.0
Simca,Simca 1000,1961–78,"1,935,098.[445]",1935098.0,18.0
Simca,Simca 1100,1967–85,"2,139,400, including a small amount of CKD kits and commercial versions; in later years the vehicle was sold as the Talbot-Simca 1100.[445]",2139400.0,19.0
Škoda,Škoda Octavia,1996–present,"Over 4,000,000 to 2013.[446]",4000000.0,31.0
Studebaker,Studebaker Champion,1939–42 1946–58,"Studebaker's best selling nameplate; approximately 1,320,000 built over three generations.[24][84]",1320000.0,4.0
Smart,Smart Fortwo,1998–,"Over 1,500,000 by mid-2013.[447] Best and longest selling Smart nameplate.",1500000.0,
Smart,Smart Roadster,2003–2006,"43,091 in a single generation.[448]",43091.0,4.0
Spectre,Spectre R42,1995–1998,23 in a single generation[449],23.0,4.0
SS,SS 1,1932–1936,624 in a single generation.[450],624.0,5.0
SS100,SS100,1935–39,309 in a single generation.[451],309.0,5.0
Subaru,Subaru 360,1958–1971,"392,000 in a single generation.[452]",392000.0,14.0
Subaru,Subaru Alcyone,1985–1996,"123,297 altogether, accounting for 98,918 first generation (known worldwide as XT)[453] and 24,379 2nd generation SVX.[454]",123297.0,12.0
Subaru,Subaru Legacy,1988–2025,"Over 3,000,000 in four generations to 2005, including Australian sales as the Subaru Liberty.[455]",3000000.0,38.0
Suzuki,Suzuki Cappuccino,1991–97,"28,010 in one generation[456]",28010.0,7.0
Suzuki,Suzuki Jimny,1970–present,"over 3,000,000 to 2021[457]",3000000.0,57.0
Suzuki,Suzuki Wagon R,1993–present,"Japan's bestselling kei car; over 5,000,000 in four generations till February 2010.[458]",5000000.0,34.0
Suzuki,Suzuki Swift,2004–present,"over 4,000,000 from 2004 to 2014, about half of that sold in India[459]",4000000.0,23.0
Tatuus,Tatuus FR2000,2000-2007,930 chassis built.[460][461] Exclusively used as spec chassis in various Formula Renault 2.0 championships. Best selling Tatuus.,930.0,8.0
Tatuus,Tatuus F4-T014,2014–present,250 chassis produced as of 2019.[462] Exclusively used as spec chassis in various Formula 4 championships.,250.0,13.0
Tatuus,Tatuus MSV F4-016,2014–present,Variation of F4-T014. 30 chassis produced as of 2019.[462],4.0,13.0
Tatuus,Tatuus USF-17,2017–present,Variation of F4-T014. 40 chassis produced as of 2019.[462],4.0,10.0
Tatuus,Tatuus PM-18,2018–present,Variation of F4-T014. 40 chassis produced as of 2019.[462],4.0,9.0
Tatuus,Tatuus FT-50,2015–present,Known as Toyota FT-50. 26 chassis produced as of 2019.[462],50.0,12.0
Tatuus,Tatuus F.3 T318,2018–present,220 chassis produced as of 2019[462],220.0,9.0
Tesla,Tesla Model 3,2017–present,"~525,000 as of March 2020[369][463]",525000.0,10.0
Tesla,Tesla Model S,2012–present,"~281,100 through December 2019.[106]",281100.0,15.0
Tesla,Tesla Model X,2015–present,"~121,000 through December 2018.[90][464]",121000.0,12.0
Tesla,Tesla Roadster,2008–2012,"~2,500 in a single generation.[465]",2500.0,5.0
Toyota,Toyota 2000GT,1967–70,337 in a single generation.[466],337.0,4.0
Toyota,Toyota 86/Scion FR-S/Subaru BRZ,2012–present,"54,313 US sales (as Scion FR-S) in a single generation.[467]",54313.0,15.0
Toyota,Toyota Camry,1983–present,"Over 21,000,000 in ten generations.[468]",21000000.0,44.0
Toyota,Toyota Celica,1971–2006,"4,129,626 in seven generations.[469]",4129626.0,36.0
Toyota,Toyota Corolla,1966–present,More than 50 million over 12 generations as of August 2021.[470],50.0,61.0
Toyota,Toyota Curren,1994–1998,"Over 42,000 in a single generation at Tahara plant.[471]",42000.0,5.0
Toyota,Toyota Hilux,1968–present,"Over 16,000,000 in seven generations to 2015.[472][473]",16000000.0,59.0
